Counter,NAME,CAS,CATEGORY,MOLWT,VP_MOLWT,L_DENS,VP_40,VP_50,VP_60,VP_70,VP_80,VP_90,VP_100,VP_COEF_A,VP_COEF_B,VP_COEF_C,VP_2_A,VP_2_B,REID,ASTM_SLOPE,VP_A,VP_B,VP_X_MIN,VP_X_MAX,USER_DEF
1,Acetaldehyde,00075-07-0,Organic Liquids,4.4000000000000000e+01,4.4000000000000000e+01,6.5759999999999996e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.2183871910000001e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.0050000000000008e+00,1.6000170000000001e+03,2.9180900000000003e+02,2.7707000000000000e+04,7.8205999999999998e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0
2,Acetic acid,00064-19-7,Organic Liquids,6.0049999999999997e+01,6.0049999999999997e+01,8.7880000000000003e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6874288900000001e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.3869999999999996e+00,1.5333130000000001e+03,2.2230900000000000e+02,4.1689000000000000e+04,8.5020000000000007e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0
3,Acetic anhydride,00108-24-7,Organic Liquids,1.0209000000000000e+02,1.0209000000000000e+02,9.0129999999999999e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.3381486999999998e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.1490000000000000e+00,1.4447180000000001e+03,1.9981700000000001e+02,4.5585000000000000e+04,8.6880000000000006e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0
4,Acetone,00067-64-1,Organic Liquids,5.8079999999999998e+01,5.8079999999999998e+01,6.6280000000000001e+00,1.6819999999999999e+00,2.1850000000000001e+00,2.8620000000000001e+00,3.7130000000000001e+00,4.6989999999999998e+00,5.9169999999999998e+00,7.2510000000000003e+00,7.1170000000000000e+00,1.2105950000000000e+03,2.2966399999999999e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.4253900000000000e+01,6.9201999999999998e+03,-7.4900000000000006e+01,4.1810000000000002e+02,0
5,Acetonitrile,00075-05-8,Organic Liquids,4.1049999999999997e+01,4.1049999999999997e+01,6.5579999999999998e+00,6.3800000000000001e-01,8.3099999999999996e-01,1.0830000000000000e+00,1.4119999999999999e+00,1.8759999999999999e+00,2.4560000000000000e+00,3.1330000000000000e+00,7.1189999999999998e+00,1.3144000000000001e+03,2.3000000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0
6,Acrylamide,00079-06-1,Organic Liquids,7.1090000000000003e+01,7.1090000000000003e+01,9.3640000000000008e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.5774999999999998e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1293200000000001e+01,3.9398770000000000e+03,2.7316000000000003e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0
7,Acrylic acid,00079-10-7,Organic Liquids,7.2099999999999994e+01,7.2099999999999994e+01,8.8640000000000008e+00,1.4886999999999999e-02,2.3599999999999999e-02,3.6505000000000003e-02,5.5201000000000000e-02,8.1742999999999996e-02,1.1872400000000000e-01,1.6936200000000001e-01,8.5387000000000004e+00,2.3058429999999998e+03,2.6654700000000003e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0
8,Acrylonitrile,00107-13-1,Organic Liquids,5.3060000000000002e+01,5.3060000000000002e+01,6.7580000000000000e+00,8.1200000000000006e-01,9.6699999999999997e-01,1.3730000000000000e+00,1.7989999999999999e+00,2.3780000000000001e+00,3.1330000000000000e+00,4.0220000000000002e+00,7.0380000000000003e+00,1.2325300000000000e+03,2.2247000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.4131900000000000e+01,7.1918000000000002e+03,-5.9799999999999997e+01,1.7330000000000001e+02,0
9,Allyl alcohol,00107-18-6,Organic Liquids,5.8079999999999998e+01,5.8079999999999998e+01,7.1250000000000000e+00,1.3500000000000001e-01,1.9300000000000000e-01,2.6100000000000001e-01,3.8700000000000001e-01,5.2200000000000002e-01,7.1599999999999997e-01,1.0060000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.7107299999999999e+01,9.5792000000000007e+03,-4.0000000000000000e+00,2.0590000000000001e+02,0
10,Allyl chloride,00107-05-1,Organic Liquids,7.6530000000000001e+01,7.6530000000000001e+01,7.8639999999999999e+00,2.9980000000000002e+00,3.7719999999999998e+00,4.7969999999999997e+00,6.0149999999999997e+00,7.4470000000000001e+00,9.1099999999999994e+00,1.1025000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.4456400000000000e+01,6.6895000000000000e+03,-9.4000000000000000e+01,1.1230000000000000e+02,0
